author,comment,published_at,clean_comment
@cupeszscofield5465,"Ini bukan bencana, tapi ini kelalaian. Krn bangunan itu rupanya masih dlm tahap konstruksi. Pemborong nya harus bertanggung jawab dan muncul di publik. Dan harus di selidiki jika proses evakuasi selesai. Dan harus ada yg jadi tersangka krn ini adalah bentuk kelalaian yg menyebabkan puluhan santri tertimbun.",2 months ago,bukan bencana lalai krn bangun rupa dlm tahap konstruksi borong nya tanggung jawab muncul publik selidik proses evakuasi selesai jadi sangka krn bentuk lalai sebab puluh santri timbun
@ZaimAnjumi,Inalillahi wa innailaihi roji un selamat kanlah dan di berikan kesabaran kepada para santri dan keluarga nya dan para ustadz nya Amin,2 months ago,inalillahi wa innailaihi roji un selamat kan ikan sabar santri keluarga nya ustadz nya amin
@NasrunJunaidi,"Ini kelalaian bukan takdir, harus diusut siapa yang bertanggung jawab",2 months ago,lalai bukan takdir usut siapa tanggung jawab
@aliimarwaan6470,Innalillahi wainnaillaihi rojiun ya Alloh lindungilah para santri dan ustadz ustadz nya kena musibah  dan apabila ada yg MD smg.husnul khotimah aamiin yra.,2 months ago,innalillahi wainnaillaihi rojiun alloh lindung santri ustadz ustadz nya kena musibah apabila md smghusnul khotimah aamiin yra
@noerhari2802,"Innalillahi wa inna illaihi rojiun,  semoga diberikan jannah terbaik bagi korban MD ...",2 months ago,innalillahi wa inna illaihi rojiun moga beri jannah baik korban md
@MaryamCitra-f3i,Ya Allah insyaallah anak anak yg masih di reruntuhan selamat kan ya Allah amin ya rabbal alamin,2 months ago,allah insyaallah anak anak runtuh selamat kan allah amin rabbal alamin
@tonipradhopo8387,"Taqdir itu artinya Ukuran, jika kontraktornya bermasalah ya bukurannya ambruk. Jangan menganggap Taqdir itu ketetapan allah, jadi menyalahkan allah dong secara tidak langsung.",2 months ago,taqdir arti ukur kontraktor masalah bukur ambruk jangan anggap taqdir tetap allah jadi salah allah langsung
@lieskoer,Aamiin yra.....semoga selamat dan bisa berkumpul kembali dengan keluarga dan meneruskan pendidikan nya....,2 months ago,aamiin yrasemoga selamat kumpul keluarga terus didik nya
@izzanabela3189,Bismillahirrahmanirrahim Aamiin Ya Robbal Alamin 🤲🏻,2 months ago,bismillahirrahmanirrahim aamiin robbal alamin
@Must4nk711,"Termasuk KH Hasyim Asy'ari,KH Sahal Gontor,Kh Ali Mas'ud Sidoarjo",2 months ago,masuk kh hasyim asyarikh sahal gontorkh ali masud sidoarjo
@dapurnurmil9162,Bangunannya lagi dalam proses pengecoran lantai 4 berarti ada yang gak beres dalam struktur bangunan.,2 months ago,bangun proses cor lantai arti gak beres struktur bangun
@samsudinhidayat-nv5xj,Sependapat,2 months ago,dapat
@binderehkampong,"bukan disitu bro, di alhamdani di panji",2 months ago,bukan situ bro alhamdani panji
@muhammadfaris7366,Bukan di Al Khoziny tapi di Al Hamdani beda pondok tapi satu desa,2 months ago,bukan al khoziny al hamdani beda pondok satu desa
@maryatimaryati8890,"Maksutnya yang tertua pondoknya? 
Tapi itu yang roboh dalam proseh pembangunan😭",2 months ago,maksutnya tua pondok roboh proseh bangun
@AalimMustofa-pg2jq,Konan konon ² jangan beridiologi mistika dehh.....,2 months ago,konan konon jangan beridiologi mistika dehh
@sunardisunardi5776,"Mngkin dibawah bangunan sdah tergerus sedotan lumpur lapindo,sehingga tanah dibawahx  ada yg kosong",2 months ago,mngkin bawah bangun sdah gerus sedot lumpur lapindosehingga tanah dibawahx kosong
@masteranmanok,Konon  belum tentu pasti 🤣,2 months ago,konon
@heavenlander,"Komentarmu sudah dikoreksi, jd sebaiknya segera dihapus biar tidak menyebarkan informasi keliru dh alasan ""konon"". Al-Hamdani di sebelahnya.",2 months ago,komentar koreksi jd baik segera hapus biar sebar informasi keliru dh alas konon alhamdani belah
@WongJowo200,Syaikhonah kholil bangkalan memang tidak mondok di situ akan tetapi nama al khoziny itu yg memberinama salah satunya mbah kholil 🙏🏽,2 months ago,syaikhonah kholil bangkal memang mondok situ nama al khoziny rama salah satu mbah kholil
@MaulanaRubai,"Bangunan bertingkat tanpa menggunakan jasa arsitek  cuman mengandalkan "" biasanya gak pa2""😢",2 months ago,bangun tingkat guna jasa arsitek cuman andal biasa gak pa
@ZulfeeLink,"Iya bener.. Itu sudah sewajarnya..
Krn apapun yg terjadi di Pondok, termasuk proses pembangunannya, kyai harus tau...
Harus diproses seobyektif mungkin..",2 months ago,iya bener wajar krn apa jadi pondok masuk proses bangun kyai tau proses obyektif mungkin
@haewrnx,"Komennya malah membuktikan bahwa pernyataannya benar loh! Pembangunan gedung lebih dari 2 lantai tentu tidak mudah, banyak yg harus diperhatikan mangkannya perlu kontraktor atau ahli teknik sipil buat pembangunannya, tidak bermaksud meremehkan para santri tetapi pembangunan gedung seperti ini harus ada konsultasi bersama para ahli, agar kejadian seperti ini tidak terjadi. Innalilahi wa innailaihi rajiun untuk para korban.",2 months ago,komennya malah bukti nyata benar loh bangun gedung lebih lantai mudah banyak perhati mang perlu kontraktor ahli teknik sipil buat bangun maksud remeh santri bangun gedung konsultasi sama ahli jadi jadi innalilahi wa innailaihi rajiun korban
@nurudingrogot3454,"pembangunan di pesantren umumnya nggak memakai pemborong.. biasanya di bangun oleh santri dan para alumninya .. dan dananya juga biasa dari santri dan alumni .. di tambah dari penjualan kalender , marcendise.. dan di luar dana pemerintah.. jadi jangan menyalahkan pemborong mas brow .. nggak ada pemborong di pesantren 😂😂",2 months ago,bangun pesantren umum pakai borong biasa bangun santri alumni dana biasa santri alumni tambah jual kalender marcendise luar dana perintah jadi jangan salah borong mas brow borong pesantren
@roroellies8188,"Kok komennya banyak yg salty 😅 padahal bener, bangunan roboh ada penyebabnya. Harus diselidiki dan harus ditemukan ini kesalahan siapa. Jangan dikit2 pakai kata takdir tapi gada ikhtiar utk menemukan penyebabnya. Kalau memang ada kelalaian baik dari pihak manapun, harus dibawa ke ranah hukum.",2 months ago,komennya banyak salty padahal bener bangun roboh sebab selidik temu salah siapa jangan dikit pakai kata takdir gada ikhtiar utk temu sebab kalau memang lalai baik pihak mana bawa ranah hukum
@DiajenkKemenk,Setuju,2 months ago,tuju
@qh4147,"Yg banyak saya tau pembangunan di pondok² tuh dilakukan oleh santri² ..
Tapi untuk kasus ini entah .,",2 months ago,banyak tau bangun pondok tuh laku santri kasus entah
@megarusdiana1969,"Jangan semudah itu mas bro
Kalau ndak pernah mondok pasti ndak tau
Jangan asal menyimpulkan",2 months ago,jangan mudah mas bro kalau ndak pernah mondok ndak tau jangan asal simpul
@febrianindraindra3154,"Setelah melihat kejadian ini,sepertinya ini kyk bangunan baru,emg itu kemarin pas pembuatan di kasih besi ukuran brpa?
Antara musibah atau pembuatan bangunanNya?",2 months ago,lihat jadi inisepertinya kyk bangun baruemg kemarin pas buat kasih besi ukur brpa musibah buat bangun
@andriwahyu6448,Itu jelas kegagalan kontruksi.,2 months ago,jelas gagal kontruksi
@UmarUmar-t5v,"Jgn terlalu jauh komennya ,jgn komen yg bukan2",2 months ago,jgn terlalu jauh komennya jgn komen bukan
@jatidirimo,Ndak tau situasi dan kondisi lapangan jangan komen yang aneh 2,2 months ago,ndak tau situasi kondisi lapang jangan komen aneh
@KAHFCHANEL,Betulll mereka yg bertanggung jawab bukan pondoknya mnurut saya ponpes itu korban😢😢,2 months ago,betulll tanggung jawab bukan pondok mnurut ponpes korban
@fathonah9516,Ya Allah SMG  anak pesantren diselamatkan..,2 months ago,allah smg anak pesantren selamat
@Isabella-ie5lh,"Masjid rumah q pakai Arsitektur. Tapi pejabat membiarkan ada pembangunan PT dikampung. Akibatnya tembok rumah tetangga dan masjid retak.
Saya saudara tetangga anak biasa shalat. 

Mohon doanya supaya PT Sruni Glass mau relokasi di pergudangan saja. Agar desa aman.",2 months ago (edited),masjid rumah q pakai arsitektur jabat biar bangun pt kampung akibat tembok rumah tetangga masjid retak saudara tetangga anak biasa shalat mohon doa pt sruni glass mau relokasi gudang desa aman
@WarsitaWijaya,Tanya waktu bangun ada arsiteknya membuat gambar dan bahan yg di butuhkan ga..jg asal bangun bangunan tingkat tanpa arsirek dan jgn di langgar yg sudah di tentukan spek nya,2 months ago,tanya waktu bangun arsitek buat gambar bahan butuh gajg asal bangun bangun tingkat arsirek jgn langgar tentu spek nya
@Sulastriaja-e7g,Ya Allah...lindungi semuanya aamiiinnnn,2 months ago,allahlindungi semua aamiiinnnn
@TatikHaryanti-p3i,Kontraktor & pemborong nya hrs brtggjwab penuh,2 months ago,kontraktor borong nya hrs brtggjwab penuh
@sittigultom,Ya Allah berikan kekuatan kepada semua santri😢,2 months ago,allah ikan kuat semua santri
@ardityonavyandas.tr.t7095,"Dari sini kia belajar, betapa mahalnya ucapan maaf. Sebuah Takdir yang tentunya banyak makna dibaliknya untuk direnungkan.",2 months ago,sini kia ajar betapa mahal ucap maaf buah takdir tentu banyak makna balik renung
@lilikhandayani5167,Subhannalloh Allohumma Azirni fi musibati khoerun minha...semoga musibah ini tidak ada yg menjadi korban ...Aamiin,2 months ago,subhannalloh allohumma azirni fi musibati khoerun minhasemoga musibah jadi korban aamiin
@AgusDarmono-q4j4d,"Yg di tanyakan jurnalis ke pengasuh pesantren, apa mau minta maaf ke wali santri ? Jawabannya takdir dan ga ada kata permintaan maaf dari pengasuh pesantren ,  piye  pengasuh ini",2 months ago,tanya jurnalis asuh pesantren apa mau minta maaf wali santri jawab takdir kata minta maaf asuh pesantren piye asuh
@lifLamMimChannel,"Ya Allah,.. kasian.... Semoga semua diberi kesabaran dalam menghadapi cobaan ini",2 months ago,allah kasi moga semua beri sabar hadap coba
@heavymetaaal,"Mereka sedang menuntut ilmu.. insyaAllah, yang wafat mereka wafat dalam keadaan syahid dan di jamin syurga oleh Allah tanpa hisab",2 months ago,sedang tuntut ilmu insyaallah wafat wafat ada syahid jamin syurga allah hisab
@mokhamadyunus9945,"Yroob lindungi para santri , merka berjihat nuntut ilmu alloh yrob. Smg para santri  menggal dlam  Keada'an syahid.",2 months ago,yroob lindung santri merka jihat nuntut ilmu alloh yrob smg santri menggal dlam ada syahid
@WIND-1977,Karena kecerobohan MANUSIA (human eror) namun dengan mudahnya berkata TAKDIR DARI ALLAH.,2 months ago,ceroboh manusia human eror mudah kata takdir allah
@Budiyati-g6o,Innalilahi wa innailaihi roziun... Allah mudahkan evakuasi korban...,2 months ago,innalilahi wa innailaihi roziun allah mudah evakuasi korban
@dhimasmaranatha6842,pak yai iki piye pengasuh di takoni kabeh gak ero,2 months ago,pak yai iki piye asuh takoni kabeh gak ero
@AdiSucipto-vn2gr,Inalilahi wainailaihirojiun semoga khusnul khotiamah  tetaplah semangat di jalan Allah,2 months ago,inalilahi wainailaihirojiun moga khusnul khotiamah tetap semangat jalan allah
@amsanihijo5286,"ya Allah smoga pada selmat pengasuh dan santri "" n  banyak bantuan donatur yg menyumbangkan harta n 🤲🤲😭",2 months ago,allah smoga selmat asuh santri n banyak bantu donatur sumbang harta n
@suhermanmurtalib4190,Inalillahi wainnailaihi roji'un.. Semoga para santri selamat dan keluarga santri tetap sabar..,2 months ago,inalillahi wainnailaihi rojiun moga santri selamat keluarga santri tetap sabar
@yatisupri4451,Pak. Kiayi harus tanggung jawab,2 months ago,pak kiayi tanggung jawab
@Borneo2024-rn1uw,"Ya Allah mudahkanlah segala evakuasi yg dilakukan oleh tim SAR,semoga lancar dan selamat, amiin.🤲🤲",2 months ago,allah mudah segala evakuasi laku tim sarsemoga lancar selamat amiin
@SitiSiti-z6v,"Saya kira setiap bangunan sdh ada aturan  dan ukuran masing2, tak usah menyalahkan dgn bangunan yg di sebelahnya, Contoh bangunan di kota Gedung hotel pulahan tingkat dgn bangunan yg temboknya pada mepet Tetep AMAN, itu yg salah Konstruksi nya. Bikin bangunan tingkat konstruksi asal2lan pasti Ambruk.",2 months ago,kira bangun sdh atur ukur masing tak usah salah dgn bangun belah contoh bangun kota gedung hotel pulahan tingkat dgn bangun tembok mepet tetep aman salah konstruksi nya bikin bangun tingkat konstruksi asallan ambruk
@JohnTralala-lu5uu,"Emang kyai percaya sama arsitek, mending di arsiteki sendiri oleh kyai yang mumpuni ilmu agamanya, hapal Qur'an, haji berapa kali, zikirnya bagus, ilmu fiqih, dll",2 months ago,emang kyai percaya sama arsitek mending arsitek sendiri kyai mumpuni ilmu agama hapal quran haji berapa kali zikir bagus ilmu fiqih
@keluargapinus2165,Kelalaian tapi di bilang takdir ya....😮,2 months ago,lalai bilang takdir
@irmamade1890,"Makanya , tp mungkin msh shock beliau blm bs mengutarakan permohonan maaf dan lain2 nya, anyway Innallillahi Wainaillahi Rojiun utk korban peristiwa tsb ,Lahumul AlFateha 😇💐🙏😢🤲",2 months ago,makanya tp mungkin msh shock beliau blm bs utara mohon maaf nya anyway innallillahi wainaillahi rojiun utk korban peristiwa tsb lahumul alfateha
@peace-jv6gc,jangan harap wkwkk,2 months ago,jangan harap wkwkk
@AliOk-t6w,AAMIIN,2 months ago,aamiin
@Dapurbunda986,Aamiin,2 months ago,aamiin
@VienSyu,Aamiin. Meninggal ny jg dlm keadaan sedang solat ashar.,2 months ago (edited),aamiin tinggal ny jg dlm ada sedang solat ashar
@gambarceriakids,Takdir di buat persembunyian. Dari kelalaian.,2 months ago,takdir buat sembunyi lalai
@mbohsoppo99,"Biasanya ada yg ngurusi soal pembangunan, mustinya itu yg di wawancara atau mendampingi / hadir",2 months ago,biasa ngurusi soal bangun mustinya wawancara damping hadir
@aishaash_," @mbohsoppo99  betul.. Harusnya yg di tanyain kontraktor/mandor tukangnya,",2 months ago,mbohsoppo betul harus tanyain kontraktormandor tukang
@KAHFCHANEL,Kontraktor nya kak...yg bertanggung jawabb....berarti ada yg gak beress...Klo pihak pondok itu korbann😢😢SDH sedihh...jadi yg bangun pondok tersebut yg paling bertanggungjawab yg paling mengerti konstruksi bangunannya,2 months ago,kontraktor nya kakyg tanggung jawabbberarti gak beressklo pihak pondok korbannsdh sedihhjadi bangun pondok sebut paling bertanggungjawab paling erti konstruksi bangun
@masbim1343,Saya bukan ldii.. tapi saya pernah masuk di pondok ldii burwngan bangunannya kuat dan megah.. bagus untuk di tiru.. besinya buesar2,2 months ago,bukan ldii pernah masuk pondok ldii burwngan bangun kuat megah bagus tiru besi buesar
@izzanabela3189,Allahuma Sholi Alla Sayidina Muhammad ❤️,2 months ago,allahuma sholi alla sayidina muhammad
@reginasaharanurdin1969,"Jujur saja, mau dibangun berapa lantai itu bangunan, jangan ada yang ditutup-tutupi",2 months ago,jujur mau bangun berapa lantai bangun jangan ditutuptutupi
@MuhRoni-t1b,"Ya Alloh ya rob anak-anak yg suci lindungilah mereka ya Alloh dan berikan kesabaran bg kl ga dan do. A sllu ka
rena Alloh Maha sglnya amin3",2 months ago,alloh rob anakanak suci lindung alloh ikan sabar bg kl do a sllu ka rena alloh maha sglnya amin
@uswatunhasanah-k2j,Pondok yg mandiri tdk pernah unjuk rasa walupun gurunya tdk dibayar pemerintah seperti pns. Semua ikhlas ngajar krn allah. Yg santrinya apa dikasih makan gratis pemerintah atau tdk sm sekali. Tp tdk pernah protes pemerintah❤ skrg waktunya pemerintah peduli,2 months ago,pondok mandiri tdk pernah unjuk rasa walupun guru tdk bayar perintah pns semua ikhlas ngajar krn allah santri apa kasih makan gratis perintah tdk sm sekali tp tdk pernah protes perintah skrg waktu perintah peduli
@CelsiAnugrah,ya allh....berikan keselamatan kpd para santri😢😢,2 months ago,allhberikan selamat kpd santri
@sejatinewongurip,Itu besi utk cor kelihatanya kecil,2 months ago,besi utk cor kelihatanya kecil
@HikamalpatihHikam,Ya Allah lindungi anak kami yg ada di ponpes Nurul Qur'an,2 months ago,allah lindung anak ponpes nurul quran
@RobiCahyadi-b5y,"Apa ada indikasi terima dana hibah Jatim yg diselewengkan...kalau bener tinggal nunggu yg lain-"" pada begini..",2 months ago,apa indikasi terima dana hibah jatim diselewengkankalau bener tinggal nunggu begini
@YudhiGareng-bs3nx,"Rahasia Illahi bila Allah berkehendak, Sedetil apapun perhitungan Manusia, 
Wajib  bagi kita Merenungkan",2 months ago,rahasia illahi bila allah hendak sedetil apa hitung manusia wajib renung
@indomusicid817,Tuntut dan minta pertanggungjawaban kpn pihak pemborong bangunan .. patut di pertanyakan konstruksinya..,2 months ago,tuntut minta pertanggungjawaban kpn pihak borong bangun patut tanya konstruksi
@ZabillaRaditia-b8y,berilah keselamatan utk semuanya ya Allloh,2 months ago,ilah selamat utk semua allloh
@ferryrahman2113,Koq jawabnya banyak yg mungkin dan tidak tahu.... ini takdir. Enteng men kiai,2 months ago,koq jawab banyak mungkin tahu takdir enteng men kiai
@SitiAminah-qk5pf,Semoga para santri di beri kekuatan  untuk menghadapi ujian ini,2 months ago,moga santri beri kuat hadap uji
@nadaaqilahumaeroh9121,"Ya Allah Pak Kiai,,,Yg Sabar Semua Keluarga Yai & Keluarga Korban,,,Bener Kata Pak Yai,,,Ini Semua Sudah Kehendaknya,,,Yah Gimana Lagi,,,Sudah Takdir & Harus Banyak Menerima & Ikhlas 😢",2 months ago,allah pak kiaiyg sabar semua keluarga yai keluarga korbanbener kata pak yaiini semua kehendaknyayah gimana lagisudah takdir banyak terima ikhlas
@izzanabela3189,INNA LILAHI WA'INNA ILAHI ROJIUN 🤲🏻,2 months ago,inna lilah wainna ilahi rojiun
@fatkhur_mohammad352,"Maaf ya pak kyai...do'anya niku yg saat ini harusnya...""semoga para santri yg kena musibah diberikan keselamatan semua"" niku yg terpenting",2 months ago,maaf pak kyaidoanya niku harusnyasemoga santri kena musibah beri selamat semua niku penting
@Situil16,Y Allah selamatkan lah anak anak santri kami dari musibah ini y allah,2 months ago,y allah selamat lah anak anak santri musibah y allah
@mbahranuatmojo1423,"Biasanya kalau pondok yang jadi tukanag bangunan ya para santri, biasanya untuk ngirit biaya. Inalilahi",2 months ago,biasa kalau pondok jadi tukanag bangun santri biasa ngirit biaya inalilahi
@lulukyuni4282,"Innalillahi wainnalillahi rojiun turut berduka cita untuk korban yg meninggal mugi husnul khatimah Aamiin """" yra",2 months ago,innalillahi wainnalillahi rojiun turut duka cita korban tinggal mugi husnul khatimah aamiin yra
@handhalutfiv6430,Betul saya juga pernah ke sana mewah dan megah,2 months ago,betul pernah sana mewah megah
@ibarzuchrih9883,"Krn di LDII sistem infaqnya sangat besar, belum lagi waqaf, belum lagi sedeqah, iuran ini itu...jelas duitnya banyak bgt. Klo ponpes NU kebanyakan mmg tradisional... beda lagi dgn ponpes muhammadiyah yg modern krn lbh mengutamakan kenyamanan belajar dan keselamatan.",2 months ago,krn ldii sistem infaqnya sangat besar waqaf sedeqah iur itujelas duit banyak bgt klo ponpes nu banyak mmg tradisional beda dgn ponpes muhammadiyah modern krn lbh utama nyaman ajar selamat
@elzariyantikaagustin8319,Ini kesalahan kontruksi atau karna gempa ya kak?,2 months ago,salah kontruksi karna gempa kak
@AshilArafah,Gak ada ya krn itu bkn dr dana BOS dan keluarga dalem tidak menilap dana bangunan,2 months ago,gak krn bkn dr dana bos keluarga dalem tilap dana bangun
@HabibMuqoffi,"Mestinya mikirnya GK di situ, mikirnya bangunan lantai 2 sampai 3 harus ada yg ngerti bangunan seperti arsitek ato ahlinya GK di cor sendiri kalo lantai 2 lantai bawahnya seberapa lantai 3 lantai bawahnya juga ada ukuranya",2 months ago,mesti mikirnya situ mikirnya bangun lantai ngerti bangun arsitek ato ahli cor sendiri kalo lantai lantai bawah berapa lantai lantai bawah ukuranya
@UmarUmar-t5v,"Kalau TDK tau lokasi d lapangan jgn komen yg bukan2 ,mnt do'anya saja",2 months ago,kalau tdk tau lokasi d lapang jgn komen bukan mnt doa
@walangsangit7814,"Ngomong opo,,,,",2 months ago,ngomong opo
@PutriJaya-e7u,Ya kecil bnget mas ..GK sesuai sma bangunan nya,2 months ago,kecil bnget mas sesuai sma bangun nya
@IsnainiSabrina,"Jangan berpikir kemana² dulu kak, doakan semua selamat dan tiada korban jiwa, kasihan ortu yg sdh bersusah payah memondokkan putranya disana",2 months ago,jangan pikir dulu kak doa semua selamat tiada korban jiwa kasihan ortu sdh susah payah mondok putra sana
@nurudingrogot3454,"kalo pembangunan ponpes umumnya nggak memakai pemborong / kontraktor ..  biasanya di bangun oleh santri dan para alumninya .. dan di bangun secara bertahap .. aku tau karena aku juga lulusan pesantren .. gedung madrasah di pesantrenku juga ada 5 lantai .. dan panjang 40 meter .. di bangun mulai tahun 1998 waktu aku masih di pesantren .. tapi setiap tahun aku datang ke pesantren sampai sekarang masih aman , kuat dan terawat dengan sangat baik",2 months ago,kalo bangun ponpes umum pakai borong kontraktor biasa bangun santri alumni bangun tahap aku tau aku lulus pesantren gedung madrasah pesantren lantai panjang meter bangun mulai tahun waktu aku pesantren tahun aku datang pesantren sekarang aman kuat awat sangat baik
@masiver1161,"Sayangnya yang membangun adalah santri nya, apakah santri akan dituntut? Coba dipikir lagi siapa yang harusnya bertanggung jawab?",2 months ago,sayang bangun santri nya santri tuntut coba pikir siapa harus tanggung jawab
@jatidirimo,Hati hati buat statement pada Masyayikh kami,2 months ago,hati hati buat statement masyayikh
@jatidirimo,Hati hati buat statement yang gak tau titik koma  pada Masyayikh kami,2 months ago,hati hati buat statement gak tau titik koma masyayikh
@triadhi9673,Bner kyak pak yai tdk mau tau,2 months ago,bner kyak pak yai tdk mau tau
@hanungpamungkas6364,"Beliau menjawab dengan apa adanya, tanpa mengada Ngada.",2 months ago,beliau jawab apa ada ada ngada
@happymom_adorablekids8408,"Ya iyalah, emang yg bangun kyai nya? Emang yg tau takdir kyai nya?? Justru yg PASTI TAHU itu takabur namanya, kayak dukun noh",2 months ago,iya emang bangun kyai nya emang tau takdir kyai nya justru tahu takabur nama kayak dukun noh
@look_catmeow,Ituu,2 months ago,ituu
@lieskoer,"Benar... karena belum di temukan semua, semoga semuanya selamat walafiat",2 months ago,benar temu semua moga semua selamat walafiat
@elzariyantikaagustin8319,Mungkin juga ya..tp pasti ada pelaksana pemborong mandor dan pasti ada gambar dan pekerja yg sudah ahli,2 months ago,mungkin yatp laksana borong mandor gambar kerja ahli
@sitiandawiyah2304,Kurangx perhitungan dalam pembangunan itu sehingga ambruk,2 months ago,kurangx hitung bangun ambruk
@tooring_adventurehk,"Kyai jawabnya selalu gk tau.
Ujungnya ini takdir semoga di ganti oleh Alloh dengan yang lebih baik..
Tdk ada raut kesedihan atau menyesal atas ambruknya pondok apalagi bicara bangunan yg mungkin tdk sesuai prosedur",2 months ago,kyai jawab selalu tau ujung takdir moga ganti alloh lebih baik tdk raut sedih sesal atas ambruk pondok bicara bangun mungkin tdk sesuai prosedur
@IslamituindahIndahnyaislam,Innalilahi wa Inna lilahi rojiun 😢😢😢moga mereka selamat ya Allah 😢😢😢,2 months ago,innalilahi wa inna lilah rojiun moga selamat allah
@suyadidarsono6704,"Memang itu Kehendak Alloh Akan Tetapi itu  Merupakan Kelalaian  dari Pihak Pengelola Pondok,karna Pondasi tidak Mampu Menahan Beban Bangunan yg di Atas,Padahal seharusnya klu Bangunan Ber tingkat itu Pondasi harus bener"" Kuat sehingga bisa menahan Beban yg di Atasnya.",2 months ago,memang hendak alloh rupa lalai pihak kelola pondokkarna pondasi mampu tahan beban bangun ataspadahal klu bangun ber tingkat pondasi bener kuat tahan beban atas
@muhamadtolitoli4917,Innalillahi wainnailaihi roji'un smg  korban ambruknya mushola semua slamat,2 months ago,innalillahi wainnailaihi rojiun smg korban ambruk mushola semua slamat
@ragahrs6740,"Takdir? 
Betul takdir 100%, 

Tapi ad kesalahan secara prosedural pembangunan/renovasi, 
1. Pembangunan/perbaikannya sudh di hitung kekuatan struktur, pondasi dll dan faktor beban
2. Bangunan yang masih proses perbaikam besar ya jangan di gunakan dulu.

Pertanyaannya, siapa yg bertanggung jawab atas insiden ini?

Dikit2 ngomong takdir, astaga",2 months ago,takdir betul takdir ad salah prosedural pembangunanrenovasi pembangunanperbaikannya sudh hitung kuat struktur pondasi faktor beban bangun proses perbaikam besar jangan guna dulu tanya siapa tanggung jawab atas insiden dikit ngomong takdir astaga
@sriyatun6758,ya Allah semoga para korban cepat ditemukan dengan selamat.,2 months ago,allah moga korban cepat temu selamat
@jangkrikkebon8657,Paling dibangunnya campur duit panas.,2 months ago,paling bangun campur duit panas
@rusWan-n1w,Semoga cepat evakuasi korban dan terselamatkan semua 🤲,2 months ago,moga cepat evakuasi korban selamat semua
@aminahakbar4920,"Ya Allah,  putra dari saudaraku di temukan meninggal😭 surga tempatmu nak, semogasemua kluarga di beri keiklasan, sabar  dr musibah ini Aammiin",2 months ago,allah putra saudara temu tinggal surga tempat nak semogasemua kluarga beri keiklasan sabar dr musibah aammiin
@mahardikareload4751,Smoga dibri keselamatan dan ktbahan.atas musibah ini.allah amgkat drjat beliau.kiae,2 months ago,smoga dibri selamat ktbahanatas musibah iniallah amgkat drjat beliaukiae
@vonrudinho506,"kalo di pondok biasanya kalo bangun bangunan modalnya cuma niat sama yakin, urusan struktur kekuatan bangunan itu nggak penting2 amat. toh kalo ambruk korbannya nanti masuk surga.. udah biasa",2 months ago,kalo pondok biasa kalo bangun bangun modal cuma niat sama yakin urus struktur kuat bangun penting kalo ambruk korban masuk surga udah biasa
@tatiksri-v6p,Inna lillahi wa inna ilaihi raajiun. semoga keluarga para korban diberi kesabaran dan ketabahan. Untuk pihak pesantren/sekolah mana pun saat pembangunan hendaknya kegiatan² siswa dipisahkan dg area pembgn,2 months ago,inna lillahi wa inna ilaihi raajiun moga keluarga korban beri sabar tabah pihak pesantrensekolah mana bangun hendak giat siswa pisah dg area pembgn
@DsaTr-g8s,Semoga semua nya selalu dlm lindungan ALLOH S W T 🤲🤲🤲😭,2 months ago,moga semua nya selalu dlm lindung alloh s w t
@imamrochmad9614,Mugi para santri selamat seluruhnya,2 months ago,mugi santri selamat seluruh
@SriMulyani-j9b,"Innalillahi wainnailaihi rojiun,, yaallah selamatkan kyai dan santrinya yaa Allah🤲🤲🤲",2 months ago,innalillahi wainnailaihi rojiun yaallah selamat kyai santri yaa allah
@triwahyuningsih1224,Semoga semua santri dan Guru gurunya selamat,2 months ago,moga semua santri guru guru selamat
@MananF-v1g,"أنا لله وانا إليه راجعون
Semoga di ringankan musibah yang m3nimpa klrga besar pon pes Al khozini buduran Sidoarjo Jawa timur.",2 months ago,moga ringan musibah mnimpa klrga besar pon pes al khozini budur sidoarjo jawa timur
@nuralifah5350,"Ya Allah
SMG di beri ketabahan dan kesaharan",2 months ago,allah smg beri tabah kesaharan
@waluyojati9910,"Ini peringatan bagi umat seluruh dunia, karna sudah lupa sama leluhurnya sendiri",2 months ago,ingat umat seluruh dunia karna lupa sama leluhur sendiri
@umiragil4388,"Ikut berbelasungkawa, semoga semua korban segera dpt dievakuasi 🤲",2 months ago,ikut belasungkawa moga semua korban segera dpt evakuasi
@khaelani1299,Betul tidak ada kata maaf dari wali santri,2 months ago,betul kata maaf wali santri
@MangUdin-i5b,"Emang apa yang?
 harus di ucapkan???",2 months ago,emang apa ucap
@SyafiqAfnan-so1wk,Jangan su'udzon,2 months ago,jangan suudzon
@rizqihidayat8389,Jaga ucapan nya boss,2 months ago,jaga ucap nya boss
@AbdulMumin-l8k,😢😢,2 months ago,
@bundamaniez664,inalillahi wainailahi rojiun😢😢😢,2 months ago,inalillahi wainailahi rojiun
@AbdulRahman-hf3jr,Umurnya berapa tahun mbk..ada berapa santri di pesantren ini...sampai ratusan kahh sedih sebab korban banyak,2 months ago,umur berapa tahun mbkada berapa santri pesantren inisampai ratus kahh sedih korban banyak
@MochSiry,Jgn asal mangap kang sekuat apapun klw sudah musah ambruk jg,2 months ago,jgn asal mangap kang kuat apa klw musah ambruk jg
@MuhammadAlwiHasan-h1w,Tidak juga begitu mas minimal respek berduka cita,2 months ago,mas minimal respek duka cita
