author,comment,published_at,clean_comment
@darmansyahgani3849,Itulah.klu ustad  berpikir bisa menjadi ahli.konsteuksi. lain ilmu.lah pak.ustad...jgn kw korbankan anak anak.santri..yg tidak tw.apa apa,2 months ago,itulahklu ustad pikir jadi ahlikonsteuksi ilmu pakustadjgn kw korban anak anaksantriyg twapa apa
@sutamipandhe499,"Memang takdir, tap, akibatada sebab😮",2 months ago,memang takdir tap akibatada
@asdhanet2664,"Ayo !!, berlomba lombalah mendirikan bangunan yang asal asalan, agar makin banyak jamaah yang mati syahid. inilah takdir tuhan !",2 months ago,ayo lomba lomba diri bangun asal asal makin banyak jamaah mati syahid ini takdir tuhan
@supinahpin9932,Pengelola nya mau cari untung banyak tidak memperhatikan keselamatan para santri.,2 months ago,kelola nya mau cari untung banyak perhati selamat santri
@qiublox062,Sudah takdir broo.. jng berisik..,2 months ago,takdir broo jng berisik
@BudiRembo-b4t,Takdir....takdir😂😂😂😂😂,2 months ago,takdirtakdir
@sulianiagus332,Aamiin ya Allah 🤲,2 months ago,aamiin allah
@layanandesa1364,Y Alloh lindungi pr santrinya dan byg d sekitarnya .,2 months ago,y alloh lindung pr santri byg d sekitar
@faizalbawazeer3176,Aamiin,2 months ago,aamiin
@wartiwarti4947,"Aamiin Allahummaamiin,,,",2 months ago,aamiin allahummaamiin
@slamettohirun7276,Aamiin,2 months ago,aamiin
@nurkhayatigondang6193,Aamiin ya Allah 🤲🤲,2 months ago,aamiin allah
@saifudin.tok29,Aamiin,2 months ago,aamiin
@DafizRizky,Amiiiin aminnn ya robbal alaminn,2 months ago,amiiiin aminnn robbal alaminn
@sakhaalbaqiyatus2562,Aminnn,2 months ago,aminnn
@fatiyasalsabila2355,Inallahi ya allah lindungi para santri di keslamatan dn kesehatan,2 months ago,inallahi allah lindung santri keslamatan dn sehat
@mamolmul695,Sudah di beritakan ada korban,2 months ago,berita korban
@HeriIsbowo,Betul mas kudu ono sing tanggung jawab,2 months ago,betul mas kudu ono sing tanggung jawab
@ariiharianto1747," @HeriIsbowo  pihak pondok pasti tanggung jawab dunia bahkan sampai akherat, pertanyaan nya apakah samean bisa meringankan/ membantu yg kena musibah, kalau tidak lebih baik doakan ygbaik""  saja agar situasi tidak semakin buruk. 😁",2 months ago,heriisbowo pihak pondok tanggung jawab dunia bahkan akherat tanya nya samean ringan bantu kena musibah kalau lebih baik doa ygbaik situasi makin buruk
@BambangJaya-wd8mp,"Anda betul sekali saya sependapat.. yang Rasional aja,, pakai Logika aja.. 1+1 ya 2",2 months ago,betul sekali dapat rasional pakai logika
@SoeripHerlambang-h8q,"Segera ambil kren unit yg diatas 50 ton
Sebanyak2nya",2 months ago,segera ambil kren unit atas ton banyak
@abdurohim8364,Bener bang slamet,2 months ago,bener bang slamet
